#,-180,-90,20,10,18,18,180,90,#
0,0,0,5520,0
1,0,1,5494,212709
2,0,2,5502,424376
3,0,3,5521,637139
4,0,4,5457,851881
5,0,5,5513,1064106
6,0,6,5540,1278956
7,0,7,5544,1496617
8,0,8,5363,1715081
9,0,9,5518,1924072
10,0,10,5388,2133510
11,0,11,5476,2340459
12,0,12,5499,2550223
13,0,13,5540,2758981
14,0,14,5430,2968957
15,0,15,5401,3174774
16,0,16,5657,3378271
17,0,17,5434,3590602
18,1,0,5375,3794483
19,1,1,5425,4001578
20,1,2,5549,4210630
21,1,3,5494,4425209
22,1,4,5476,4638906
23,1,5,5553,4851932
24,1,6,5455,5068355
25,1,7,5418,5282603
26,1,8,5548,5496188
27,1,9,5426,5712283
28,1,10,5528,5918125
29,1,11,5417,6130483
30,1,12,5560,6337944
31,1,13,5502,6549068
32,1,14,5445,6757445
33,1,15,5441,6963765
34,1,16,5564,7168684
35,1,17,5479,7377397
36,2,0,5526,7582986
37,2,1,5446,7796186
38,2,2,5553,8006288
39,2,3,5494,8221368
40,2,4,5445,8435535
41,2,5,5436,8647726
42,2,6,5583,8859932
43,2,7,5456,9079630
44,2,8,5463,9294949
45,2,9,5494,9508035
46,2,10,5526,9716871
47,2,11,5514,9929556
48,2,12,5520,10140979
49,2,13,5503,10350969
50,2,14,5421,10559871
51,2,15,5500,10765638
52,2,16,5632,10973233
53,2,17,5614,11184987
54,3,0,5356,11395969
55,3,1,5478,11603098
56,3,2,5343,11814996
57,3,3,5553,12022519
58,3,4,5475,12239399
59,3,5,5466,12453273
60,3,6,5426,12667282
61,3,7,5622,12881351
62,3,8,5487,13103785
63,3,9,5490,13318301
64,3,10,5387,13527558
65,3,11,5444,13735346
66,3,12,5525,13944548
67,3,13,5587,14155152
68,3,14,5567,14367788
69,3,15,5445,14579620
70,3,16,5684,14785614
71,3,17,5557,14999738
72,4,0,5496,15209249
73,4,1,5386,15416405
74,4,2,5483,15619361
75,4,3,5522,15826735
76,4,4,5497,16036813
77,4,5,5480,16245937
78,4,6,5640,16454921
79,4,7,5582,16671854
80,4,8,5574,16887091
81,4,9,5516,17099549
82,4,10,5477,17304380
83,4,11,5475,17510076
84,4,12,5530,17715128
85,4,13,5457,17920439
86,4,14,5433,18122784
87,4,15,5460,18324006
88,4,16,5528,18525145
89,4,17,5404,18727950
90,5,0,5496,18926240
91,5,1,5353,19133767
92,5,2,5500,19335897
93,5,3,5496,19544393
94,5,4,5504,19754023
95,5,5,5549,19963861
96,5,6,5587,20175760
97,5,7,5605,20390996
98,5,8,5437,20607584
99,5,9,5432,20815160
100,5,10,5428,21017122
101,5,11,5530,21221484
102,5,12,5440,21428983
103,5,13,5491,21631478
104,5,14,5550,21835276
105,5,15,5635,22041394
106,5,16,5454,22249306
107,5,17,5530,22449820
108,6,0,5501,22653064
109,6,1,5442,22862475
110,6,2,5520,23069550
111,6,3,5605,23280470
112,6,4,5429,23495846
113,6,5,5618,23704450
114,6,6,5612,23920765
115,6,7,5375,24138639
116,6,8,5550,24348017
117,6,9,5310,24561630
118,6,10,5466,24760693
119,6,11,5601,24968015
120,6,12,5436,25179808
121,6,13,5499,25383617
122,6,14,5442,25589441
123,6,15,5501,25793170
124,6,16,5577,25997759
125,6,17,5325,26204379
126,7,0,5454,26401674
127,7,1,5478,26610501
128,7,2,5359,26820245
129,7,3,5528,27026179
130,7,4,5544,27239949
131,7,5,5307,27454278
132,7,6,5388,27659910
133,7,7,5559,27870341
134,7,8,5581,28088062
135,7,9,5636,28304052
136,7,10,5414,28516623
137,7,11,5543,28723284
138,7,12,5518,28934132
139,7,13,5504,29142348
140,7,14,5576,29349684
141,7,15,5515,29559594
142,7,16,5528,29766055
143,7,17,5535,29972140
144,8,0,5484,30178520
145,8,1,5525,30388819
146,8,2,5482,30600607
147,8,3,5502,30811535
148,8,4,5508,31024547
149,8,5,5505,31237656
150,8,6,5548,31451107
151,8,7,5488,31667926
152,8,8,5538,31883072
153,8,9,5550,32097861
